Keyword Stats 2026-08-07 at 12_58_04
1 de julio de 2025 - 30 de junio de 2026
Keyword	Currency	Avg. monthly searches	Cambio en tres meses	Cambio interanual	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026
guatapé como llegar	COP	480	22%	243%	Baja	4	"279,98"	"2185,92"						210	260	210	320	480	590	880	480	480	590	590	720
kit de carretera obligatorio en colombia	COP	90	0%	40%	Alta	89								70	50	50	70	50	110	170	110	70	70	70	70
kit de carretera obligatorio para motos colombia	COP	20	-50%	-67%	Baja	0								70	20	10	10	20	10	10	10	20	20	20	10
la periquera villa de leyva como llegar	COP	20	0%	-50%	Baja	0								20	10	20	20	20	30	40	10	20	10	10	10
medellin bogota carro	COP	30	0%	0%	Baja	4								40	30	30	30	30	40	30	10	30	20	30	20
medellin bogota en carro	COP	40	0%	0%	Baja	0								40	40	50	50	40	50	50	20	30	40	40	40
planes para hacer en san gil	COP	70	133%	-36%	Baja	24	"178,36"	"901,25"						70	70	50	70	40	70	110	40	50	30	40	70
pozos azules villa de leyva como llegar	COP	10	0%	0%	Baja	0								10	10	10	10	10	10	20	10	30	10	10	10
que hacer en san gil colombia	COP	10	-100%	-100%	Desconocida									30	10	10	10	10	10	10	10	10	10	10	0
que hacer en san gil de noche	COP	40	-25%	-67%	Baja	33								50	50	40	50	40	50	70	10	30	40	30	30
que hacer en san gil santander	COP	140	50%	91%	Media	48	"87,10"	"1800,36"						70	70	50	70	70	140	260	90	210	140	170	210
que hacer en san gil y barichara	COP	20	0%	-67%	Baja	15								20	30	20	20	10	30	20	10	30	10	10	10
que hacer san gil	COP	20	0%	-50%	Media	53	"82,90"	"2171,39"						10	10	10	10	20	30	30	20	10	10	10	10
que hay para hacer en san gil	COP	110	0%	-36%	Media	45	"160,16"	"1661,58"						110	110	50	140	110	110	170	50	110	90	90	90
que hay para hacer en san gil santander	COP	20	33%	33%	Media	45	"110,03"	"1495,00"						20	10	20	10	10	30	50	20	30	30	20	40
que se puede hacer en san gil	COP	30	50%	-40%	Media	40	"148,09"	"1666,95"						20	30	20	30	20	30	50	20	40	20	30	30
que visitar en san gil	COP	20	50%	-25%	Baja	18								20	20	20	30	10	20	40	10	20	20	10	30
ruta bogota cartagena en carro	COP	30	300%	33%	Baja	2								40	10	20	20	30	90	30	50	30	10	20	40
ruta bogota cartagena por tierra en carro	COP	40	-67%	-67%	Baja	0								30	50	40	30	110	40	30	70	20	30	20	10
ruta bogota medellin en carro	COP	30	-33%	100%	Baja	0								20	10	10	30	20	90	50	10	40	30	10	20
ruta bogotá cartagena en carro	COP	10	0%	0%	Baja	0								0	10	10	10	20	10	20	10	0	10	10	10
ruta bogotá cartagena por tierra en carro	COP	10	-100%	0%	Desconocida									10	10	10	0	10	10	10	10	0	10	0	0
salento quindio como llegar	COP	10	0%	0%	Baja	0								10	10	10	10	10	10	30	10	10	10	10	10
salento quindío como llegar	COP	260	22%	129%	Baja	2	"440,24"	"1533,84"						210	260	140	140	140	210	590	210	320	320	260	390
san gil colombia que hacer	COP	10	0%	0%	Alta	100								10	10	10	10	10	10	10	10	0	10	10	10
san gil santander que hacer	COP	10	100%	100%	Media	37	"186,81"	"1502,52"						10	10	10	20	10	10	20	10	30	10	10	20
tiempo de bogota a medellin en carro	COP	10	0%	0%	Baja	0								10	10	10	10	10	20	20	10	10	10	10	10
viaje bogota cartagena en carro	COP	10	0%	-100%	Desconocida									10	10	10	10	10	10	10	10	10	0	10	0
viaje bogota medellin en carro	COP	10	0%	0%	Baja	0								10	10	10	10	20	10	10	10	10	10	10	10
viaje de bogota a cartagena en carro	COP	10	0%	0%	Baja	0								10	10	10	10	10	10	10	10	10	10	10	10
viaje en carro bogota cartagena	COP	10	0%	0%	Baja	0								10	0	10	10	10	10	10	10	10	10	0	10
viaje en carro bogota medellin	COP	10	0%	0%	Baja	13								10	20	10	10	10	10	10	10	10	10	10	10
que llevar en un viaje por carretera	COP		 --	 --	Desconocida																				
