Informe de términos de búsqueda
12 de junio de 2026 - 6 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Añadido/excluido,Grupo de anuncios,Palabra clave,Clics,Impr.,Conversiones,Código de moneda,Coste/conv.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.)
car rental cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,4,8,"0,00",COP,"0,00","50,00%","404,00","1616,00","14,29%","85,71%"
rent a car cucuta colombia,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,2,3,"0,00",COP,"0,00","66,67%","326,00","652,00","50,00%","100,00%"
alquiler de vehiculos en neiva,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,3,11,"0,00",COP,"0,00","27,27%","461,00","1383,00","30,00%","100,00%"
car rental pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentacars,Concordancia amplia,Ninguno,Santa marta,alquiler de carros santa marta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de auto en armenia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros por dia,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentar carros en bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car santa marta colombia,Concordancia de frase (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,1,"0,00",COP,"0,00","100,00%","841,00","841,00","100,00%","100,00%"
renta de autos 24 7,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros santa marta colombia,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,2,4,"0,00",COP,"0,00","50,00%","529,00","1058,00","0,00%","100,00%"
bucaramanga carro,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
aluguel de carro em cartagena,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de autos e,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de camionetas,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,1,1,"0,00",COP,"0,00","100,00%","156,00","156,00","0,00%","100,00%"
alquiler de autos bogota economicos,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,6,"0,00",COP,"0,00","33,33%","639,00","1278,00","20,00%","80,00%"
que vale el alquiler de un carro,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
carro para rentar,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros exito 134,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta car en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro para 6 personas,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
tu roll,Concordancia amplia,Ninguno,Medellin,alquiler carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
tu rent a car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carros exito medellin,Concordancia de frase,Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentacar medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,7,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","42,86%"
rentar carro pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,3,11,"0,00",COP,"0,00","27,27%","712,67","2138,00","20,00%","90,00%"
alquiler de carros en medellín precios,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,7,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","57,14%"
renta cars medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de coches santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculo barato,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carro en cucuta colombia,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,3,4,"0,00",COP,"0,00","75,00%","293,33","880,00","50,00%","50,00%"
alquiler coche,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,2,10,"0,00",COP,"0,00","20,00%","629,50","1259,00","0,00%","100,00%"
renta de carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,4,28,"0,00",COP,"0,00","14,29%","630,25","2521,00","8,00%","76,00%"
cuanto cuesta alquilar un carro por un dia,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en bogotá por días,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler carro por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro neiva,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,12,28,"0,00",COP,"0,00","42,86%","485,69","5828,27","54,55%","95,45%"
renticar,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,4,"0,00",COP,"0,00","50,00%","485,50","971,00","25,00%","75,00%"
alquiler de carros automaticos,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
car renta,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de autos en santa marta colombia,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,1,"0,00",COP,"0,00","100,00%","1012,00","1012,00","0,00%","100,00%"
derentasgo,Concordancia amplia,Excluido,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de auto en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,2,6,"0,00",COP,"0,00","33,33%","1411,50","2823,00","16,67%","66,67%"
alquiler de carros santa marta,Concordancia exacta,Añadido,Santa marta,alquiler de carros santa marta,39,136,"2,81",COP,"7706,14","28,68%","555,70","21672,44","12,40%","71,32%"
renta de autos bogota aeropuerto,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro por un dia,Concordancia amplia,Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculos en armenia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentar un carro medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler de carros en bogotá sin conductor,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","156,67","156,67","0,00%","100,00%"
wagon,Concordancia amplia,Ninguno,Medellin,alquiler de carros en medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
cuanto cuesta alquilar un carro en colombia,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
quiero rentar un carro,Concordancia amplia,Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de vehiculos en cartagena,Concordancia exacta (ligera variación),Añadido,Cartagena unica Airport,alquiler de carros en cartagena,12,45,"0,00",COP,"0,00","26,67%","947,32","11367,86","23,81%","90,48%"
renta de carro bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,4,18,"0,00",COP,"0,00","22,22%","480,25","1921,00","17,65%","70,59%"
alquilar carro en ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,8,17,"0,00",COP,"0,00","47,06%","546,76","4374,05","60,00%","100,00%"
renta car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,2,29,"0,00",COP,"0,00","6,90%","1385,50","2771,00","11,11%","59,26%"
que cuesta alquilar un carro,Concordancia amplia,Ninguno,Villavicencio,alquiler de carros en villavicencio,1,1,"0,00",COP,"0,00","100,00%","109,00","109,00","100,00%","100,00%"
cuanto cuesta alquilar un carro,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,8,21,"0,00",COP,"0,00","38,10%","814,13","6513,00","15,79%","78,95%"
alquiler de carro por dias,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,4,"0,00",COP,"0,00","25,00%","438,00","438,00","25,00%","100,00%"
alquiler carros bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,9,19,"1,00",COP,"8151,82","47,37%","905,76","8151,82","27,78%","72,22%"
alquiler de automóviles en neiva,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
aplicacion para rentar carros,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler de automóviles en villavicencio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,1,2,"0,00",COP,"0,00","50,00%","424,00","424,00","0,00%","100,00%"
alquiler de carros leo,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro aeropuerto monteria,Concordancia de frase (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
massy motors rental,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta vehiculos medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,2,8,"0,00",COP,"0,00","25,00%","620,00","1240,00","25,00%","50,00%"
rentafacil bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","66,67%","100,00%"
alquiler carro en cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de coches en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,2,1,"0,00",COP,"0,00","200,00%","2276,00","4552,00","0,00%","100,00%"
alquilatucarro,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,3,3,"0,00",COP,"0,00","100,00%","672,00","2016,00","100,00%","100,00%"
alquiler de carros villamaría,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","66,67%"
rent cars bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar colombia,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta auto,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,10,44,"0,00",COP,"0,00","22,73%","1196,50","11965,00","17,07%","78,05%"
alquiler vehiculos service rental car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta autos manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","33,33%","100,00%"
turo colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carros medellin,Concordancia exacta,Añadido,Medellin,alquiler carros medellin,22,155,"0,00",COP,"0,00","14,19%","1168,20","25700,42","5,59%","46,15%"
alliance rent car,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler autos medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,3,16,"0,00",COP,"0,00","18,75%","2021,97","6065,90","6,25%","56,25%"
alquiler auto manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,1,1,"0,00",COP,"0,00","100,00%","89,00","89,00","0,00%","100,00%"
rentar carro,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
cuanto cuesta alquilar un auto en colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
cuanto alquilan un carro por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros bogota economico,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler carros colombia,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquila carro,Concordancia amplia,Ninguno,Villavicencio,alquiler de carros en villavicencio,1,4,"1,69",COP,"590,61","25,00%","1001,00","1001,00","0,00%","100,00%"
renta car medellín,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilautos,Concordancia amplia,Excluido,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
alquiler de carros en cartagena precios,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,4,23,"0,00",COP,"0,00","17,39%","716,75","2867,00","17,65%","88,24%"
alquiler de carros en villavicencio precios bajos,Concordancia de frase,Ninguno,Villavicencio,alquiler de carros en villavicencio,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rental car medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
requisitos para rentar un carro en colombia,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
renta carro bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,14,48,"0,00",COP,"0,00","29,17%","925,22","12953,12","16,67%","78,57%"
renta de carros en armenia colombia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler camioneta de platon,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en medellín por días,Concordancia de frase,Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentadora de carros,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,3,"0,00",COP,"0,00","66,67%","872,00","1744,00","50,00%","100,00%"
rentar carro cerca de mi,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","955,54","955,54","0,00%","100,00%"
car rental cartagena,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carro santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,3,14,"0,00",COP,"0,00","21,43%","800,33","2401,00","44,44%","100,00%"
alquiler de carro medellín,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
expresos carros particulares,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de vehiculos medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","20,00%"
renta carros ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,8,18,"0,00",COP,"0,00","44,44%","375,75","3006,00","87,50%","100,00%"
aoa alquiler de vehiculos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculos,Concordancia amplia,Ninguno,Cali,alquiler de carros en cali,1,4,"0,00",COP,"0,00","25,00%","459,00","459,00","25,00%","100,00%"
the company rent a car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,1,4,"0,00",COP,"0,00","25,00%","452,00","452,00","0,00%","50,00%"
rentar carro,Concordancia amplia,Ninguno,Villavicencio,alquiler de carros en villavicencio,1,3,"0,00",COP,"0,00","33,33%","1169,00","1169,00","50,00%","100,00%"
rentar carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,23,107,"1,00",COP,"22832,00","21,50%","992,70","22832,00","15,31%","85,71%"
alquilar carro en cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,14,47,"1,00",COP,"8996,00","29,79%","642,57","8996,00","15,56%","82,22%"
carro en bogota,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler vehiculos,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
renta de vehiculos barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,3,11,"1,00",COP,"2447,00","27,27%","815,67","2447,00","36,36%","72,73%"
renta carros bogota,Concordancia exacta (ligera variación),Añadido,Bogota,alquiler de carros bogota,40,183,"0,00",COP,"0,00","21,86%","689,50","27580,11","13,02%","75,74%"
rent a car barranquilla,Concordancia de frase (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","183,00","183,00","0,00%","100,00%"
rentar carro en neiva,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,3,4,"0,00",COP,"0,00","75,00%","652,33","1957,00","50,00%","75,00%"
alquiler vehículos medellín,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,3,3,"0,00",COP,"0,00","100,00%","2259,27","6777,81","66,67%","100,00%"
renta de carro,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
arriendos de carros,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
cuanto cuesta la alquilada de un carro,Concordancia amplia,Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,9,19,"1,00",COP,"4519,00","47,37%","502,11","4519,00","68,75%","93,75%"
rentar carro por dia,Concordancia amplia,Ninguno,Villavicencio,alquiler de carros en villavicencio,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carro en cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,3,12,"0,00",COP,"0,00","25,00%","518,00","1554,00","8,33%","83,33%"
